id,country,city,zone,address,latitude,longitude,initialOwner
208,italy,milano,centro storico,corso di porta vittoria 58,45.4624694,9.1978834,
210,italy,milano,centro storico,corso di porta vittoria 58,45.4624694,9.1978834,
212,italy,milano,bocconi,viale beatrice d'este 30,45.4520294,9.1911302,
213,italy,milano,città studi,via giovanni pacini 18,45.4839545,9.2343766,
215,italy,milano,porta romana,via seneca 2,45.4541536,9.2084856,
217,italy,milano,brera,via castelfidardo 10,45.4787223,9.1896773,
219,italy,milano,bocconi,via calatafimi 9,45.5741003,8.9723955,
221,italy,milano,solari,via giovanni de alessandri 5,45.4621878,9.1594619,
223,italy,milano,sempione,via giovanni battista fauche' 1,45.4851542,9.1648703,
226,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
229,italy,milano,lorenteggio,via ambrogio alciati 7,45.458145,9.1377186,
230,italy,milano,brera,via solferino 42,45.5774739,8.800392,
232,italy,milano,loreto,viale abruzzi 38,45.4571753,9.3163693,
234,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
238,italy,milano,lotto,viale renato serra 14,45.4878962,9.1480079,
239,italy,milano,bocconi,viale liguria 53,45.5259525,9.2739383,
240,italy,milano,bocconi,viale bligny 19,45.4509352,9.196562,
241,italy,milano,porta romana,via mincio 20/2,45.5178633,9.0414284,
242,italy,milano,centro storico,via gaudenzio ferrari 8,45.5511894,8.9580855,
244,italy,milano,lodi,via sigieri 22,45.4522113,9.2114793,
245,italy,milano,forlanini,via mecenate 76,45.4443532,9.2607538,
249,italy,milano,bocconi,viale beatrice d'este 32,45.4520294,9.1911302,
250,italy,milano,de angeli,via piero martinetti 14,45.4667312,9.1315297,
252,italy,milano,de angeli,via correggio 3,45.5220361,9.3238794,
253,italy,milano,p.ta genova,via tortona 34,45.4504106,9.1558851,
254,italy,milano,solari,via antonio dugnani 4,45.4595609,9.1658901,
255,italy,milano,de angeli,via carlo ravizza 11,45.4715059,9.1471764,
256,italy,milano,porta romana,via bergamo 1,45.5910382,9.0703686,
259,italy,milano,lorenteggio,via giacinto bruzzesi 25,45.449913,9.1462897,
261,italy,milano,romolo,via walter tobagi 13,45.5482926,9.347335,
